distance (m),altitude (m)
3592.808449,3003.98
3596.489229,3004.41
3600.194446,3004.84
3603.922451,3005.27
3607.660998,3005.69
3611.411226,3005.69
3615.1559,3006.1
3618.886114,3006.52
3622.594673,3006.92
3626.274892,3007.33
3629.908447,3007.33
3633.505889,3007.72
3637.061119,3008.11
3640.575223,3008.47
3644.049905,3008.8
3647.489003,3008.8
3650.889211,3009.1
3654.252792,3009.38
3657.583551,3009.63
3660.880471,3009.87
3664.147337,3009.87
3667.389202,3010.12
3670.608351,3010.38
3673.808547,3010.66
3676.991589,3010.96
3680.16956,3010.96
3683.35031,3011.28
3686.533352,3011.59
3689.730769,3011.91
3692.938809,3012.21
3696.175117,3012.21
3699.425316,3012.5
3702.688906,3012.77
3705.966884,3013.04
3709.252695,3013.3
3712.536229,3013.3
3715.825318,3013.55
3719.119461,3013.82
3722.419663,3014.1
3725.730471,3014.41
3729.06123,3014.41
3732.403101,3014.75
3735.755572,3015.12
3739.119666,3015.5
3742.488802,3015.88
3745.864008,3015.88
3749.247548,3016.26
3752.633349,3016.63
3756.025223,3017
3759.427689,3017.37
3762.844564,3017.37
3766.286441,3017.76
3769.758346,3018.15
3773.266893,3018.53
3776.808236,3018.91
3780.38901,3018.91
3784.005897,3019.28
3787.658341,3019.63
3791.344677,3019.97
3795.055449,3020.32
3798.786232,3020.32
3802.533683,3020.69
3806.291673,3021.09
3810.064125,3021.53
3813.84989,3022.01
3817.644566,3022.01
3821.447576,3022.51
3825.272226,3023.02
3829.122462,3023.53
3833.002662,3024.03
3836.925124,3024.03
